m;n;ratio;staircase_comps;binary_comps
1;1000000;1e+06;2000000;38
11;90909;8264.45;181818;352
21;47619;2267.57;95238;630
31;32258;1040.58;64516;868
41;24390;594.878;48780;1148
51;19607;384.451;39214;1428
61;16393;268.738;32786;1708
71;14084;198.366;28168;1846
81;12345;152.407;24690;2106
91;10989;120.758;21978;2366
101;9900;98.0198;19800;2626
201;4975;24.7512;9950;4824
301;3322;11.0365;6644;6622
401;2493;6.21696;4986;8822
501;1996;3.98403;3992;10020
601;1663;2.76705;3326;12020
701;1426;2.03424;2852;14020
801;1248;1.55805;2496;16020
901;1109;1.23085;2218;18020
