n,prim_macierz_us,prim_kopiec_us,kruskal_us
10,4.15,7.3,6.75
30,31.35,54.35,91.2
50,31.75,47.75,114.6
70,39.45,55.75,161.3
90,37.5,51.95,178.9
110,48.3,67.7,302.35
130,64.2,94.3,471.2
150,79.2,113.05,629.6
170,101.9,135.4,808.65
190,118.05,156.7,1068.5
210,137.65,184.4,1289.95
230,160.85,209.2,1545.85
250,188.75,236.75,1809.5
270,218.7,280.05,2274.85
290,247.55,305.6,2586.8
310,280.1,344.3,2941.75
330,314.35,375.9,3330.6
350,349.55,416.05,3765.75
370,385.05,461.85,4448.05
390,440.3,515.9,4946.9
410,471.3,584.3,5432.05
430,519.4,623.65,6022.75
450,566.7,701.65,6508.3
470,618.4,736.3,7129.4
490,692.5,791.05,7745.2
510,722.9,858.35,8380.45
530,786.4,949.15,9693.85
550,886.45,1030.5,10524.9
570,938.65,1089.65,11175.8
590,1035.2,1200,11955
610,1064.3,1236.6,12945.5
630,1277.85,1395.95,13693.7
650,1373.2,1451.35,14485
670,1265.1,1476.4,15427.8
690,1334.95,1558.2,16218.9
710,1424.5,1699.15,17142.4
730,1517,1747.25,19514
750,1579.55,1841.6,20568.3
770,1700.55,1972.4,21733.2
790,1987.25,2379.75,26189.3
810,1907.1,2148.85,23974.8
830,1967,2229.55,24984.7
850,2097.55,2368.65,26694.8
870,2399.15,2888.65,29812.2
890,2364.85,2809.5,33071.8
910,2721.8,3108.2,34099.2
930,3422.8,3520.9,35107.5
950,2608.8,3087.65,36253.6
970,3267.3,3884.05,39849.2
990,2957.5,3541.75,37807.2
1010,2798.75,3265.7,36682.7
